ID	Term	Abbreviation	Definition	SMILES	ref
Q4723	dinoseb		chemical compound		https://compoundcloud.wikibase.cloud/entity/Q4723
Q4734	mancozeb		chemical compound		https://compoundcloud.wikibase.cloud/entity/Q4734
Q4727	endosulfan		chemical compound, InChIKey RDYMFSUJUZBWLH-AZVNHNRSSA-N	Cl[C@]12C(=C([C@]([C@@H]3COS(OC[C@@H]31)=O)(C2(Cl)Cl)Cl)Cl)Cl	https://compoundcloud.wikibase.cloud/entity/Q4727
Q5026	T4	T4	chemical compound, InChIKey XUIIKFGFIJCVMT-LBPRGKRZSA-N	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O	https://compoundcloud.wikibase.cloud/entity/Q5026
Q5027	T3	T3	chemical compound, InChIKey AUYYCJSJGJYCDS-LBPRGKRZSA-N	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O	https://compoundcloud.wikibase.cloud/entity/Q5027
Q17	amiodarone		chemical compound, InChIKey IYIKLHRQXLHMJQ-UHFFFAOYSA-N, CAS registry number1951-25-3	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I	https://compoundcloud.wikibase.cloud/entity/Q17
Q38	rotenone		chemical compound, InChIKey JUVIOZPCNVVQFO-HBGVWJBISA-N, CAS registry number83-79-4	CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC	https://compoundcloud.wikibase.cloud/entity/Q38
Q82	tetrabromobisphenol A	TBBPA	chemical compound, InChIKey VEORPZCZECFIRK-UHFFFAOYSA-N, CAS registry number79-94-7	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	https://compoundcloud.wikibase.cloud/entity/Q82
Q1879	iopanoic acid		chemical compound, InChIKey OIRFJRBSRORBCM-UHFFFAOYSA-N, CAS registry number96-83-3	CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O	https://compoundcloud.wikibase.cloud/entity/Q1879
Q1880	lesinurad		chemical compound, InChIKey FGQFOYHRJSUHMR-UHFFFAOYSA-N, CAS registry number878672-00-5	C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O	https://compoundcloud.wikibase.cloud/entity/Q1880
