ID	Term	Abbreviation	Definition	ref
VHP0000046	Accessible		One needs to know how data can be accessed, possibly including authentication and authorisation.	https://www.go-fair.org/fair-principles/
VHP0000116	Adapter		A framework to fine-tune (large language) models by adding a small number of external parameters without the need of the entire (large language) model.	https://arxiv.org/pdf/1902.00751,https://arxiv.org/abs/2304.01933
VHP0000134	Agent		A software entity that uses a language model to autonomously perform specific tasks by interpreting prompts, interacting with data or systems, and generating results.	
VHP0000041	Application Programming Interface	API	A type of software interface that provides a way for two or more computer programs to communicate with each other.	https://www.igi-global.com/article/application-programming-interface-api-research/232166
VHP0000142	Atomic Site of Metabolism	SOM	The atomic site in a molecule which is prone to metabolism by Cytochrome P450s (or other enzymes) as referred in the <a href=&quot;https://cloud.vhp4safety.nl/service/sombie.html&quot;>SOM Prediction</a> tool.	
VHP0000121	Backlog		A prioritized list of all the tasks the team still wants to complete, used in the SCRUM method of working. Each added task is clearly described and preferably linked to an epic and a user story. At the beginning of a sprint, tasks will be selected from the backlog and assigned to teammember to be completed before the end of that sprint.	
VHP0000098	Catalog		A systemic collection of items of the same type.	https://ontobee.org/ontology/SIO?iri=http://semanticscience.org/resource/SIO_001241
VHP0000145	Compound Wiki ID 		Identifier used by the VHP4Safety Compound Wiki (see <a href="https://compoundcloud.wikibase.cloud/wiki/Item:Q1">compoundcloud.wikibase.cloud/wiki/Item:Q1</a> where Q1 is the Compound Wiki ID for aflatoxin B1).	
VHP0000083	Data steward		A data steward is an oversight or data governance role within an organization, and is responsible for ensuring the quality and fitness for purpose of the organization's data assets, including the metadata for those data assets.	https://en.wikipedia.org/wiki/Data_steward
VHP0000054	Data Management Plan	DMP	Plans to serve to address the what, how, who, and where of data management by formally outlining the roles, responsibilities, and activities for managing data during and after research in alignment with FAIR principles.	https://doi.org/10.1016/B978-0-08-102295-5.10531-1
VHP0000100	Data modeling	DMP	The process of discovering, analyzing, and scoping data requirements, and then representing and communicating these data requirements in a precise form called the data model. This process is iterative and may include a conceptual, logical, and physical model.	https://www.dama.org/cpages/body-of-knowledge
VHP0000042	Data stewardship		The work performed by a data steward.	
